"6480","MSA",,"A","RI","Providence-Fall River-Warwick, RI-MA"
"6520","MSA",,"B","UT","Provo-Orem"
"6560","MSA",,"C","CO","Pueblo"
"6580","MSA",,"C","FL","Punta Gorda"
"6600","PMSA","63","C","WI","Racine"
"6640","MSA",,"B","NC","Raleigh-Durham-Chapel Hill"
"6660","MSA",,"D","SD","Rapid City"
"6680","MSA",,"B","PA","Reading"
"6690","MSA",,"C","CA","Redding"
"6720","MSA",,"B","NV","Reno"
"6740","MSA",,"C","WA","Richland-Kennewick-Pasco"
"6760","MSA",,"B","VA","Richmond-Petersburg"
"6780","PMSA","49","A","CA","Riverside-San Bernardino"
"6800","MSA",,"C","VA","Roanoke"
"6820","MSA",,"C","MN","Rochester"
"6840","MSA",,"A","NY","Rochester"
"6880","MSA",,"B","IL","Rockford"
"6895","MSA",,"C","NC","Rocky Mount"
"6920","PMSA","82","A","CA","Sacramento"
"6960","MSA",,"B","MI","Saginaw-Bay City-Midland"
"6980","MSA",,"C","MN","St. Cloud"
"7000","MSA",,"D","MO","St. Joseph"
"7040","MSA",,"A","MO","St. Louis, MO-IL"
"7080","PMSA","79","B","OR","Salem"
"7120","MSA",,"B","CA","Salinas"
"7160","MSA",,"A","UT","Salt Lake City-Ogden"
"7200","MSA",,"D","TX","San Angelo"
"7240","MSA",,"A","TX","San Antonio"
"7320","MSA",,"A","CA","San Diego"
"7360","PMSA","84","A","CA","San Francisco"
"7400","PMSA","84","A","CA","San Jose"
"7440","PMSA","87","A","PR","San Juan-Bayamon"
"7460","MSA",,"C","CA","San Luis Obispo-Atascadero-Paso Robles"
"7480","MSA",,"B","CA","Santa Barbara-Santa Maria-Lompoc"
"7485","PMSA","84","C","CA","Santa Cruz-Watsonville"
"7490","MSA",,"C","NM","Santa Fe"
"7500","PMSA","84","B","CA","Santa Rosa"
"7510","MSA",,"B","FL","Sarasota-Bradenton"
"7520","MSA",,"B","GA","Savannah"
"7560","MSA",,"B","PA","Scranton--Wilkes-Barre--Hazleton"
"7600","PMSA","91","A","WA","Seattle-Bellevue-Everett"
"7610","MSA",,"C","PA","Sharon"
"7620","MSA",,"C","WI","Sheboygan"
"7640","MSA",,"D","TX","Sherman-Denison"
"7680","MSA",,"B","LA","Shreveport-Bossier City"
"7720","MSA",,"C","IA","Sioux City, IA-NE"
"7760","MSA",,"C","SD","Sioux Falls"
"7800","MSA",,"C","IN","South Bend"
"7840","MSA",,"B","WA","Spokane"
"7880","MSA",,"C","IL","Springfield"
"7920","MSA",,"B","MO","Springfield"
"8000","MSA",,"B","MA","Springfield"
"8040","PMSA","70","B","CT","Stamford-Norwalk"
"8050","MSA",,"C","PA","State College"
"8080","MSA",,"C","OH","Steubenville-Weirton, OH-WV"
"8120","MSA",,"B","CA","Stockton-Lodi"
"8140","MSA",,"C","SC","Sumter"
"8160","MSA",,"B","NY","Syracuse"
"8200","PMSA","91","B","WA","Tacoma"
"8240","MSA",,"C","FL","Tallahassee"
"8280","MSA",,"C","FL","Tampa-St. Petersburg-Clearwater"
"8320","MSA",,"A","IN","Terre Haute"
"8360","MSA",,"C","AR","Texarkana, TX-Texarkana"
"8400","MSA",,"C","OH","Toledo"
"8440","MSA",,"B","KS","Topeka"
"8480","PMSA","70","C","NJ","Trenton"
"8520","MSA",,"B","AZ","Tucson"
"8560","MSA",,"B","OK","Tulsa"
"8600","MSA",,"C","AL","Tuscaloosa"
"8640","MSA",,"C","TX","Tyler"
"8680","MSA",,"B","NY","Utica-Rome"
"8720","PMSA","84","B","CA","Vallejo-Fairfield-Napa"
"8735","PMSA","49","B","CA","Ventura"
"8750","MSA",,"D","TX","Victoria"
"8760","PMSA","77","C","NJ","Vineland-Millville-Bridgeton"
"8780","MSA",,"B","CA","Visalia-Tulare-Porterville"
"8800","MSA",,"C","TX","Waco"
"8840","PMSA","97","A","DC","Washington, DC-MD-VA-WV"
"8880","PMSA","70","C","CT","Waterbury"
"8920","MSA",,"C","IA","Waterloo-Cedar Falls"
"8940","MSA",,"C","WI","Wausau"
"8960","MSA",,"B","FL","West Palm Beach-Boca Raton"
"9000","MSA",,"C","WV","Wheeling, WV-OH"
"9040","MSA",,"B","KS","Wichita"
"9080","MSA",,"C","TX","Wichita Falls"
"9140","MSA",,"C","PA","Williamsport"
"9160","PMSA","77","B","DE","Wilmington-Newark, DE-MD"
"9200","MSA",,"C","NC","Wilmington"
"9240","PMSA","07","B","MA","Worcester, MA-CT"
"9260","MSA",,"C","WA","Yakima"
"9270","PMSA","82","C","CA","Yolo"
"9280","MSA",,"B","PA","York"
"9320","MSA",,"B","OH","Youngstown-Warren"
"9340","MSA",,"C","CA","Yuba City"
"9360","MSA",,"C","AZ","Yuma"
